"day" "month" "year" "Kdown_direct"
"1" 1 10 1944 9160.644899
"2" 2 10 1944 13012.744045
"3" 3 10 1944 14080.950675
"4" 4 10 1944 11818.718545
"5" 5 10 1944 13563.700948
"6" 6 10 1944 11653.709357
"7" 7 10 1944 9955.94554
"8" 8 10 1944 6820.207378
"9" 9 10 1944 13097.856777
"10" 10 10 1944 8092.632834
"11" 11 10 1944 11653.709357
"12" 12 10 1944 12166.25364
"13" 13 10 1944 8092.632834
"14" 14 10 1944 6445.259204
"15" 15 10 1944 10282.749158
"16" 16 10 1944 11616.625026
"17" 17 10 1944 10755.474249
"18" 18 10 1944 10755.474249
"19" 19 10 1944 9784.510459
"20" 20 10 1944 9784.510459
"21" 21 10 1944 5870.860069
"22" 22 10 1944 7506.338678
"23" 23 10 1944 8469.070954
"24" 24 10 1944 6491.587094
"25" 25 10 1944 7506.338678
"26" 26 10 1944 7996.112533
"27" 27 10 1944 5975.212317
"28" 28 10 1944 4446.583875
"29" 29 10 1944 4947.886943
"30" 30 10 1944 2828.81591
"31" 31 10 1944 590.084793
"32" 1 11 1944 1783.61247
"33" 2 11 1944 5979.795919
"34" 3 11 1944 5051.838647
"35" 4 11 1944 5051.838647
"36" 5 11 1944 977.746876
"37" 6 11 1944 595.886188
"38" 7 11 1944 1228.615159
"39" 8 11 1944 4824.721278
"40" 9 11 1944 4401.878539
"41" 10 11 1944 24.599998
"42" 11 11 1944 0.109425
"43" 12 11 1944 161.211309
"44" 13 11 1944 1228.615159
"45" 14 11 1944 1228.615159
"46" 15 11 1944 807.982137
"47" 16 11 1944 1005.160229
"48" 17 11 1944 1754.851676
"49" 18 11 1944 1228.994479
"50" 19 11 1944 1754.851676
"51" 20 11 1944 132.13457
"52" 21 11 1944 2716.773442
"53" 22 11 1944 3073.836535
"54" 23 11 1944 2283.585922
"55" 24 11 1944 378.948379
"56" 25 11 1944 804.02731
"57" 26 11 1944 639.015973
"58" 27 11 1944 281.298567
"59" 28 11 1944 993.284181
"60" 29 11 1944 1703.758961
"61" 30 11 1944 1206.799428
"62" 1 12 1944 131.512501
"63" 2 12 1944 561.939542
"64" 3 12 1944 4638.914673
"65" 4 12 1944 4318.641434
"66" 5 12 1944 2686.231286
"67" 6 12 1944 711.50702
"68" 7 12 1944 2080.842411
"69" 8 12 1944 1800.933191
"70" 9 12 1944 1872.983479
"71" 10 12 1944 2732.814979
"72" 11 12 1944 2434.844846
"73" 12 12 1944 2732.814979
"74" 13 12 1944 2732.814979
"75" 14 12 1944 1153.941128
"76" 15 12 1944 2147.264554
"77" 16 12 1944 1872.983479
"78" 17 12 1944 2330.110586
"79" 18 12 1944 2051.240573
"80" 19 12 1944 582.95839
"81" 20 12 1944 455.697477
"82" 21 12 1944 21.370067
"83" 22 12 1944 0.059833
"84" 23 12 1944 21.370067
"85" 24 12 1944 582.95839
"86" 25 12 1944 1092.311169
"87" 26 12 1944 1092.311169
"88" 27 12 1944 731.272178
"89" 28 12 1944 189.103139
"90" 29 12 1944 1092.311169
"91" 30 12 1944 1092.311169
"92" 31 12 1944 731.272178
"93" 1 1 1945 1614.604152
"94" 2 1 1945 3657.35672
"95" 3 1 1945 3657.35672
"96" 4 1 1945 3347.317344
"97" 5 1 1945 1374.338951
"98" 6 1 1945 2147.264554
"99" 7 1 1945 1872.983479
"100" 8 1 1945 2686.231286
"101" 9 1 1945 1298.792341
"102" 10 1 1945 1079.999992
"103" 11 1 1945 1079.999992
"104" 12 1 1945 2686.231286
"105" 13 1 1945 5125.604822
"106" 14 1 1945 2376.88206
"107" 15 1 1945 2080.842411
"108" 16 1 1945 642.126621
"109" 17 1 1945 1994.015359
"110" 18 1 1945 998.119361
"111" 19 1 1945 203.846955
"112" 20 1 1945 1451.035606
"113" 21 1 1945 2611.444861
"114" 22 1 1945 3626.411669
"115" 23 1 1945 2294.702126
"116" 24 1 1945 3088.799578
"117" 25 1 1945 1486.392932
"118" 26 1 1945 1234.977067
"119" 27 1 1945 2064.470104
"120" 28 1 1945 2387.538718
"121" 29 1 1945 1486.392932
"122" 30 1 1945 3088.799578
"123" 31 1 1945 372.408205
"124" 1 2 1945 38.754497
"125" 2 2 1945 84.435047
"126" 3 2 1945 38.754497
"127" 4 2 1945 2419.214156
"128" 5 2 1945 992.733205
"129" 6 2 1945 1767.763591
"130" 7 2 1945 4380.450757
"131" 8 2 1945 2779.744612
"132" 9 2 1945 3248.428829
"133" 10 2 1945 4567.426313
"134" 11 2 1945 2842.721607
"135" 12 2 1945 3673.740718
"136" 13 2 1945 5489.804695
"137" 14 2 1945 3248.428829
"138" 15 2 1945 4567.426313
"139" 16 2 1945 3248.428829
"140" 17 2 1945 1892.695303
"141" 18 2 1945 1567.838653
"142" 19 2 1945 2641.865356
"143" 20 2 1945 4468.442082
"144" 21 2 1945 7037.880183
"145" 22 2 1945 9398.222211
"146" 23 2 1945 9398.222211
"147" 24 2 1945 3979.278572
"148" 25 2 1945 4775.064081
"149" 26 2 1945 5330.708085
"150" 27 2 1945 1623.454501
"151" 28 2 1945 8765.59375
"152" 1 3 1945 6381.892891
"153" 2 3 1945 8085.85234
"154" 3 3 1945 1942.814577
"155" 4 3 1945 966.314124
"156" 5 3 1945 4924.784382
"157" 6 3 1945 1015.299301
"158" 7 3 1945 11003.323913
"159" 8 3 1945 13381.707459
"160" 9 3 1945 12969.085713
"161" 10 3 1945 12523.776105
"162" 11 3 1945 13761.336118
"163" 12 3 1945 10441.87779
"164" 13 3 1945 3866.295084
"165" 14 3 1945 1253.01249
"166" 15 3 1945 224.746289
"167" 16 3 1945 7012.454314
"168" 17 3 1945 309.154837
"169" 18 3 1945 7695.554464
"170" 19 3 1945 8383.515326
"171" 20 3 1945 3866.295084
"172" 21 3 1945 1182.844789
"173" 22 3 1945 901.932789
"174" 23 3 1945 393.228742
"175" 24 3 1945 9409.941658
"176" 25 3 1945 6473.714314
"177" 26 3 1945 1788.933441
"178" 27 3 1945 7923.981958
"179" 28 3 1945 10883.245424
"180" 29 3 1945 8062.403601
"181" 30 3 1945 15608.996882
"182" 31 3 1945 10459.844017
"183" 1 4 1945 5702.488909
"184" 2 4 1945 5702.488909
"185" 3 4 1945 10304.059106
"186" 4 4 1945 10304.059106
"187" 5 4 1945 11088.860502
"188" 6 4 1945 10477.079136
"189" 7 4 1945 13778.166917
"190" 8 4 1945 12976.891175
"191" 9 4 1945 3610.185019
"192" 10 4 1945 14554.154955
"193" 11 4 1945 17321.607463
"194" 12 4 1945 10477.079136
"195" 13 4 1945 8793.534186
"196" 14 4 1945 15784.607027
"197" 15 4 1945 14963.686782
"198" 16 4 1945 14963.686782
"199" 17 4 1945 14963.686782
"200" 18 4 1945 17324.919208
"201" 19 4 1945 18037.103285
"202" 20 4 1945 18037.103285
"203" 21 4 1945 16573.010217
"204" 22 4 1945 13362.149331
"205" 23 4 1945 16113.942941
"206" 24 4 1945 13362.149331
"207" 25 4 1945 9561.097569
"208" 26 4 1945 8634.796605
"209" 27 4 1945 15219.319885
"210" 28 4 1945 17808.118259
"211" 29 4 1945 19347.430067
"212" 30 4 1945 21527.123202
"213" 1 5 1945 18260.925405
"214" 2 5 1945 19062.63279
"215" 3 5 1945 19821.541695
"216" 4 5 1945 16543.030996
"217" 5 5 1945 11816.031128
"218" 6 5 1945 12786.469827
"219" 7 5 1945 12786.469827
"220" 8 5 1945 7702.00176
"221" 9 5 1945 14686.246219
"222" 10 5 1945 21794.926284
"223" 11 5 1945 21049.147706
"224" 12 5 1945 15686.128573
"225" 13 5 1945 10617.131614
"226" 14 5 1945 3660.110373
"227" 15 5 1945 17616.64526
"228" 16 5 1945 15285.323998
"229" 17 5 1945 12132.661873
"230" 18 5 1945 8068.920003
"231" 19 5 1945 23060.309224
"232" 20 5 1945 14239.928305
"233" 21 5 1945 18302.288978
"234" 22 5 1945 17323.135747
"235" 23 5 1945 10055.001223
"236" 24 5 1945 14790.118711
"237" 25 5 1945 10475.797446
"238" 26 5 1945 10475.797446
"239" 27 5 1945 8423.388696
"240" 28 5 1945 13705.258784
"241" 29 5 1945 7450.281217
"242" 30 5 1945 17595.829589
"243" 31 5 1945 6521.824098
"244" 1 6 1945 22744.113859
"245" 2 6 1945 12732.730773
"246" 3 6 1945 11647.146324
"247" 4 6 1945 11647.146324
"248" 5 6 1945 8510.518894
"249" 6 6 1945 3413.538199
"250" 7 6 1945 18102.868829
"251" 8 6 1945 14915.799477
"252" 9 6 1945 17334.160381
"253" 10 6 1945 16257.454854
"254" 11 6 1945 17334.160381
"255" 12 6 1945 18386.329846
"256" 13 6 1945 20391.50124
"257" 14 6 1945 18386.329846
"258" 15 6 1945 15163.351351
"259" 16 6 1945 21333.510254
"260" 17 6 1945 19551.3832
"261" 18 6 1945 21487.075283
"262" 19 6 1945 21487.075283
"263" 20 6 1945 21487.075283
"264" 21 6 1945 18525.051256
"265" 22 6 1945 19551.3832
"266" 23 6 1945 17467.320514
"267" 24 6 1945 14174.238659
"268" 25 6 1945 14174.238659
"269" 26 6 1945 16384.761913
"270" 27 6 1945 16384.761913
"271" 28 6 1945 15284.528748
"272" 29 6 1945 18525.051256
"273" 30 6 1945 19551.3832
"274" 1 7 1945 12823.945368
"275" 2 7 1945 19551.3832
"276" 3 7 1945 23868.493476
"277" 4 7 1945 22229.144219
"278" 5 7 1945 17334.160381
"279" 6 7 1945 21333.510254
"280" 7 7 1945 19407.403155
"281" 8 7 1945 8674.044506
"282" 9 7 1945 19407.403155
"283" 10 7 1945 18386.329846
"284" 11 7 1945 14766.200094
